OrderID,Date,CustomerID,ProductCategory,Quantity,UnitPrice,TotalAmount,DeliveryStatus,PaymentMethod,Rating,Review,Country_Germany,Country_India,Country_Nan,Country_Uk,Country_Unknown,Country_Usa
1000.0,2024-06-12,C008,Electronics,-0.029887347777239386,-0.2846266251185718,-0.21634000025576233,Delivered,0,3.0,"Terrible service, not buying again.",False,False,False,False,False,False
1001.0,2024-01-23,C038,Books,-1.469078094588921,-1.614615708139627,-1.3245774382191866,Delivered,0,5.0,Not Provided,False,False,False,False,False,False
1003.0,2024-03-12,C001,Apparel,0.6897080256286015,0.3041313117465945,0.7152267904631124,In Transit,0,4.0,Excellent packaging and quality.,False,False,False,True,False,False
1004.0,2024-01-27,C006,Books,-1.469078094588921,0.42037326338407605,-0.8700888266053455,In Transit,1,2.0,Great product and fast delivery!,True,False,False,False,False,False
1006.0,2024-06-29,C005,Electronics,-0.7494827211830802,-0.009872921248160858,-0.4992153304812911,Delivered,0,1.0,"Terrible service, not buying again.",True,False,False,False,False,False
1007.0,2024-03-12,C030,Home Decor,-0.7494827211830802,0.48981650721945463,-0.2760169173593602,In Transit,0,5.0,Not happy with the product.,False,True,False,False,False,False
1008.0,2024-06-04,C041,Apparel,1.4093033990344424,-0.2861362608541235,0.5931756944659237,Delivered,2,4.0,Worst delivery experience.,False,False,False,True,False,False
1010.0,2024-04-12,C018,Electronics,-0.7494827211830802,0.14561955951366512,-0.42976083938896814,Delivered,2,1.0,Worst delivery experience.,True,False,False,False,False,False
1012.0,2024-05-29,C026,Home Decor,-0.7494827211830802,-0.9443374415546684,-0.9166165924827269,Returned,2,4.0,"Terrible service, not buying again.",False,True,False,False,False,False
1019.0,2024-02-02,C009,Books,1.4093033990344424,-0.7782775106439804,0.043608604754824885,In Transit,4,3.0,Excellent packaging and quality.,False,False,False,False,False,False
1020.0,2024-06-25,C013,Home Decor,0.6897080256286015,0.5094417717816269,0.8986405921826448,In Transit,2,4.0,"Terrible service, not buying again.",False,False,False,False,False,True
1022.0,2024-06-10,C004,Apparel,-1.469078094588921,-1.6055578937263166,-1.3225544918766918,In Transit,5,3.0,"Product was damaged, returned.",False,False,False,False,False,True
1023.0,2024-03-12,C043,Books,-0.7494827211830802,1.5344844362212369,0.19060937230945008,Delivered,2,3.0,Excellent packaging and quality.,True,False,False,False,False,False
